Zip,Coastal/Inland,Pair,Date,Price,TotalWeightedObservations,GMSL_noGIA,StdDevGMSL_noGIA,SmoothedGSML_noGIA,GMSL_GIA,StdDevGMSL_GIA,SmoothedGSML_GIA,SmoothedGSML_GIA_sigremoved
11214.0,1,18,2016-07,610000.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
11209.0,1,19,2016-07,599999.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
10023.0,0,20,2016-07,2370000.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
10069.0,1,20,2016-07,2272500.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
10003.0,0,21,2016-07,1950000.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
10010.0,1,21,2016-07,2310000.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
94014.0,0,1,2016-08,699250.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
94015.0,1,1,2016-08,769000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
93940.0,0,2,2016-08,869000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
93950.0,1,2,2016-08,899999.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
93109.0,1,3,2016-08,1349000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
93108.0,0,3,2016-08,3875000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
77505.0,1,4,2016-08,234900.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
77504.0,0,4,2016-08,192000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
33137.0,1,5,2016-08,565000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
33127.0,0,5,2016-08,250000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
33129.0,1,6,2016-08,515000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
33145.0,0,6,2016-08,395000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
33131.0,1,7,2016-08,475000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
33130.0,0,7,2016-08,425000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
33308.0,1,8,2016-08,449000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
33060.0,0,9,2016-08,240000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
33062.0,1,9,2016-08,399000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
70124.0,1,10,2016-08,484950.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
70118.0,0,10,2016-08,410000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
70122.0,1,11,2016-08,187000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
70119.0,0,11,2016-08,289000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
70126.0,1,12,2016-08,124000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
77062.0,0,13,2016-08,225000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
77058.0,1,13,2016-08,229000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
77015.0,1,14,2016-08,135000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
10305.0,1,16,2016-08,499000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
10304.0,0,16,2016-08,565000.0,332246.09,33.93,87.21,35.4,39.68,87.43,41.16,41.18
